Date, Open, High, Low, Close, Volume
02/15/19,20.65,21.95,20.5,20.65,2900
02/14/19,20.1,20.65,19,20.1,16300
02/13/19,20.5,20.5,20.5,20.5,200
02/12/2019,20.55,20.95,20.5,20.55,500
02/11/2019,20.65,20.95,19.05,20.65,3600
02/08/2019,19.05,21,19,19.05,9900
02/07/2019,20.95,20.95,20.95,20.95,400
02/06/2019,20.95,21,20,20.95,6700
02/05/2019,20,21,20,20,5500
02/04/2019,19.1,19.1,19.1,19.1,500
02/01/2019,20,20,20,20,700
01/31/19,19.25,19.65,19,19.25,1400
01/30/19,19.25,20,19,19.25,2200
01/29/19,19.2,20,19,19.2,2300
01/28/19,19.15,19.5,19,19.15,2500
01/25/19,19.3,20,17.75,19.3,2300
01/24/19,19.65,20,19.65,19.65,4100
01/23/19,19.45,19.6,19,19.45,3300
01/22/19,19.1,19.6,19,19.1,500
01/21/19,19.1,19.5,19.05,19.1,1000
01/18/19,19.5,19.65,19.5,19.5,4500
01/17/19,19.5,19.5,19.45,19.5,13400
01/16/19,19,19.8,19,19,503200
01/15/19,19.65,20,19.15,19.65,400
01/14/19,19.8,20,19.5,19.8,900
01/10/2019,19.05,19.05,19.05,19.05,100
01/09/2019,19.15,20.3,19,19.15,3600
01/07/2019,20.3,20.75,20,20.3,3500
01/04/2019,20,20.75,19,20,1200
01/03/2019,20.75,21,20,20.75,800
01/02/2019,19.8,21,19,19.8,1000
12/31/18,19.9,19.9,19.9,19.9,1800
12/28/18,19.85,20,19.8,19.85,300
12/27/18,19.1,20,18,19.1,1300
12/24/18,19.85,19.9,19.8,19.85,400
12/21/18,19.9,19.9,19.9,19.9,100
12/20/18,19.85,19.9,19.5,19.85,10700
12/19/18,19.7,19.9,19.5,19.7,1200
12/18/18,19.9,19.9,19.9,19.9,100
12/14/18,19.5,19.5,19.5,19.5,2100
12/13/18,19.9,19.9,19.9,19.9,1000
12/11/2018,19.9,21,19.5,19.9,1100
12/10/2018,19.95,21,19.1,19.95,180800
12/07/2018,19.2,19.25,19,19.2,11400
12/06/2018,19.1,19.5,19,19.1,700
12/05/2018,19.85,20,19,19.85,700
12/04/2018,19,19,19,19,3000
12/03/2018,19,20,19,19,7900
11/30/18,19,19,19,19,700
11/29/18,21,21,21,21,200
11/27/18,20.1,20.25,20,20.1,5600
11/26/18,20.25,20.5,20,20.25,1000
11/23/18,20.25,21,20,20.25,700
11/22/18,21,21,21,21,2900
11/21/18,21.25,22,21,21.25,2100
11/20/18,21.75,22,21,21.75,9200
11/16/18,21,21,21,21,1200
11/15/18,21,22,21,21,4900
11/14/18,21,21,21,21,500
11/13/18,22,22,22,22,400
11/12/2018,22,22,22,22,2100
11/08/2018,20,20.25,20,20,2300
11/07/2018,20,20.5,20,20,2000
11/06/2018,19.05,20,19,19.05,6600
11/05/2018,19.45,20,19.3,19.45,8200
11/02/2018,19.3,20,19,19.3,1500
11/01/2018,19.5,20,19,19.5,200
10/31/18,19,19,19,19,10000
10/30/18,19.35,20,18.5,19.35,1700
10/29/18,20,20,20,20,3000
10/26/18,20,20,20,20,1200
10/25/18,19.55,20,19.5,19.55,1100
10/24/18,19.4,20,19.25,19.4,2700
10/23/18,19.6,19.75,19.5,19.6,2600
10/22/18,19.6,19.75,19.5,19.6,400
10/19/18,19.75,20.25,19.5,19.75,4300
10/18/18,19.85,20.25,19.75,19.85,800
10/17/18,19.7,19.75,19.5,19.7,1100
10/16/18,19.8,20,19.75,19.8,1400
10/15/18,19.75,20,19.5,19.75,200
10/12/2018,19.65,20.5,19,19.65,2700
10/09/2018,20.5,21,20.5,20.5,11800
10/08/2018,20.25,21,20.25,20.25,1400
10/05/2018,21,22,21,21,2300
10/04/2018,22.25,22.25,22.25,22.25,400
10/03/2018,22,22,22,22,600
10/02/2018,21,21,21,21,2000
10/01/2018,20.75,21,20.5,20.75,2400
09/28/18,20,20,20,20,114400
09/27/18,20,20,20,20,21500
09/26/18,20,20,20,20,400
09/25/18,19.75,20,19,19.75,4600
09/24/18,20,20,20,20,1300
09/21/18,20,20,20,20,900
09/20/18,21,21,21,21,100
09/19/18,21,21,21,21,500
09/18/18,21.5,21.5,21.5,21.5,100
09/17/18,20,21,20,20,1300
09/14/18,20.75,21.5,20,20.75,400
09/13/18,20.75,21,20.75,20.75,5500
09/12/2018,21,21,21,21,1900
09/11/2018,21,21.5,21,21,147400
09/10/2018,20.75,21,20.75,20.75,25300
09/06/2018,21.25,21.5,21,21.25,2800
09/05/2018,21.25,21.5,21,21.25,1700
09/04/2018,20.75,21,20.75,20.75,7300
08/31/18,21,21.25,20.75,21,32700
08/30/18,20.5,21,20,20.5,2700
08/29/18,21,21,21,21,2300
08/27/18,21,21.5,21,21,1700
08/24/18,21.25,21.5,21,21.25,600
08/23/18,21.5,22,21.5,21.5,2200
08/22/18,21.75,21.75,21.75,21.75,300
08/20/18,20.75,21,20,20.75,33700
08/17/18,21.75,22,21.75,21.75,900
08/16/18,22,22,22,22,600
08/15/18,21.75,22,21.5,21.75,2500
08/14/18,22,22,22,22,600
08/10/2018,21.25,22,21,21.25,4300
08/09/2018,21.75,23,21.5,21.75,400
08/08/2018,21,21.75,21,21,186500
08/07/2018,21.5,23,21,21.5,2900
08/06/2018,23,23,23,23,1800
08/03/2018,21,21,21,21,3921800
08/01/2018,20.25,20.75,19.5,20.25,5800
07/31/18,19.25,20,18.25,19.25,2800
07/30/18,20,20.75,20,20,6500
07/27/18,20.25,20.25,20.25,20.25,1100
07/26/18,20.25,20.25,20.25,20.25,8500
07/25/18,20.25,20.75,20.25,20.25,2100
07/24/18,20,20.75,20,20,42700
07/23/18,20,20,20,20,300
07/20/18,20.5,20.5,20.5,20.5,100
07/19/18,20.75,21,19,20.75,8400
07/18/18,20.75,21,20.5,20.75,13700
07/17/18,20.5,21.5,19,20.5,12900
07/16/18,21,21.5,21,21,8300
07/13/18,21,21,21,21,1100
07/12/2018,21.25,21.5,21,21.25,2000
07/11/2018,21,21,21,21,700
07/10/2018,21,22,20,21,5300
07/09/2018,21,21,21,21,400
07/06/2018,21,22,21,21,11300
07/05/2018,21.5,21.5,21.5,21.5,10000
07/04/2018,22,22,22,22,100
07/03/2018,21.25,22,21,21.25,400
07/02/2018,21.5,21.75,21,21.5,300
06/29/18,21.25,22,21,21.25,1400
06/28/18,22,22,22,22,17800
06/27/18,21.25,22,21.25,21.25,50700
06/26/18,22,23,22,22,10700
06/25/18,21.25,23,21,21.25,69800
06/22/18,22,22.75,21,22,5400
06/21/18,22.75,23.5,22,22.75,31500
06/20/18,22.5,23,22,22.5,1600
06/19/18,23,24,22.25,23,2900
06/18/18,23.25,23.25,23.25,23.25,2100
06/14/18,23.25,24,22,23.25,11700
06/13/18,22.25,23,22,22.25,18200
06/12/2018,22.5,23,22.5,22.5,100900
06/11/2018,23,24,23,23,4200
06/08/2018,23,24,23,23,3200
06/06/2018,23.5,24,23,23.5,300
